src	tran	date	sentence
después	after	2020-07-18	Poco después, tras una declaración del juez, Tapp estaba libre.
policía	policeman	2020-07-18	Se estaba haciendo tarde cuando el jefe de Policía Bryce Johnson regresó a Idaho Falls.
asesinato	murder	2020-07-18	Tomando un paso increíble, Dodge dijo públicamente que creía que Tapp -que ya llevaba casi dos décadas en la cárcel por el asesinato de su hija- era inocente.
adn	dna	2020-07-18	Las pruebas de ADN de Tapp y Hobbs habían salido negativas -no era su semen el que encontraron en la escena del crimen.
puerto	port	2020-07-18	"""Pakistán tiene solo un gran puerto, el puerto de Karachi, que fue construido durante el período colonial hace más de 100 años"", agrega."
provincia	Province	2020-07-18	 Pero paradójicamente, Baluchistán sigue siendo un territorio remoto y en cierto sentido olvidado, la provincia más pobre y menos desarrollada de Pakistán.
idaho	Idaho	2020-07-18	Tapp le había escrito al Proyecto de Inocencia de Idaho desde prisión hacía unos años rogándoles investigar su condena.
país	country	2020-07-18	"""Otros grupos sienten que el gobierno federal que está dominado por Punjab -la provincia más poblada del país y la segunda más grande por superficie después de Baluchistán- no les permite a los baluchis tener una voz en los proyectos"".   "
china	China	2020-07-18	Los militantes se oponen ferozmente a la inversión china, pues argumentan que no trae ningún beneficio para la población local.
caso	case	2020-07-18	"""Habíamos hablado con el laboratorio estatal de Idaho y ellos entendían la importancia de este caso para la comunidad"", comentó Johnson."
angie	Angie	2020-07-18	"""Él creyó que el polígrafo era un instrumento sabelotodo, científico que leía su inconsciente y le decía que él era el asesino de Angie Dodge""."
carol	Carol	2020-07-18	"""Le dije a Carol que las cosas se veían bien e íbamos a poder encontrar al asesino"", expresó Moore."
proyectos	Projects	2020-07-18	"""Otros grupos sienten que el gobierno federal que está dominado por Punjab -la provincia más poblada del país y la segunda más grande por superficie después de Baluchistán- no les permite a los baluchis tener una voz en los proyectos"".   "
dijo	said	2020-07-18	"""Me dijo que era muy difícil madurar."
pakistán	Pakistan	2020-07-18	"""Pakistán tiene problemas económicos, necesita dinero y le está vendiendo nuestro territorio a China para intentar solventarlos"", le dice Kosa, quien es oriundo de Baluchistán y ahora vive en Londres, a BBC Mundo.  "
el	he	2020-07-18	El actual jefe de policía de Idaho Falls, Bryce Johnson, reconoció los errores cometidos en el interrogatorio de Tapp, pero asegura que los métodos de la institución han cambiado desde 1996.
pero	but	2020-07-18	"""Pero entonces Carol entró en contacto"", dijo."
baluchistán	baluchistan	2020-07-18	Pakistán ha ejecutado proyectos gasíferos para explotar el gas de Baluchistán, por ejemplo.
grupos	groups	2020-07-18	Los expertos y activistas estiman en que las tensiones entre Islamabad y los diferentes grupos separatistas baluchis continuarán hasta que ambos bandos lleguen a un acuerdo.  
fronteras	borders	2020-07-18	China siempre ha mirado hacia sus fronteras occidentales por razones comerciales u otros motivos estratégicos”, explica Saqlain Imam, periodista del servicio urdu de la BBC.  
en	in	2020-07-18	En mayo de ese año, sus abogados interpusieron una apelación.
crimen	crime	2020-07-18	Después, Hobbs y Sargis fueron liberados, pero Tapp, muy a su sorpresa y a pesar de que no había evidencia física vinculándolo a la escena del crimen, fue acusado de asesinato y violación.
separatistas	separatists	2020-07-18	La BLA -organización detrás del ataque contra la Bolsa de Valores de Karachi el 29 de junio- es solamente uno de los seis grupos separatistas armados de Baluchistán y que previamente han ejecutado ataques en Pakistán.
países	countries	2020-07-18	Pakistán, a diferencia de Japón, Corea del Sur y Taiwán -países que se encuentran del lado oriental de las fronteras marítimas de la segunda economía del mundo- es un aliado histórico de China y si el gigante asiático quiere una salida al mar alternativa, Baluchistán es una de sus pocas apuestas.
varios	various	2020-07-18	Varios grupos militantes operan en la región, incluidos los talibanes pakistaníes, el grupo extremista musulmán sunita Lashkar-e-Jhangvi y el separatista Ejército de Liberación de Baluchistán (BLA, por sus siglas en inglés).
acceso	access	2020-07-18	"""China siempre ha tenido un enfoque geoestratégico en sus fronteras occidentales, importantes para tener acceso a Europa, otros países de Asia Central o Irán."
encontrar	find	2020-07-18	"""No creo que se pueda encontrar un abogado defensor que permita que su cliente se quede allá sentado hablándole a la policía así, hoy en día."
hacer	do	2020-07-18	Encontró una compañía en Florida que podía identificar la raza de la muestra de ADN y la policía acordó hacer la prueba.
oponen	oppose	2020-07-18	"Algunos se oponen a todo lo que hace Pakistán, porque simplemente quieren convertirse en un país independiente"", detalla el periodista del servicio urdu de la BBC.  "
asesino	assassin	2020-07-18	Dodge solía meterse a la estación local de policía sin que fuera anunciada para exigir saber lo que el departamento estaba haciendo para dar con el asesino de Angie.
gobierno	government	2020-07-18	Pero más allá de aquello, Baluchistán comparte una extensa y porosa frontera con Afganistán e Irán y es hogar de una insurgencia de larga data, emprendida por los nacionalistas baluchis contra el gobierno pakistaní, un conflicto que ha dejado miles de víctimas mortales de ambos bandos.
irán	Iran	2020-07-18	"""China siempre ha tenido un enfoque geoestratégico en sus fronteras occidentales, importantes para tener acceso a Europa, otros países de Asia Central o Irán."
inversión	investment	2020-07-18	Los militantes se oponen ferozmente a la inversión china, pues argumentan que no trae ningún beneficio para la población local.
chris	Chris	2020-07-18	"""Sin encontrar al asesino de mi hija y la persona con el ADN correspondiente"", destacó, ""¿podríamos probar que Chris no estuvo allí?""."
la	the	2020-07-18	La recuperaron e inmediatamente la enviaron para análisis.
me	I	2020-07-18	"""Me eché a llorar"", dijo Moore."
madre	mother	2020-07-18	"""Pude decirle a mi madre que mi nombre está limpio."
si	yes	2020-07-18	Las cintas dejaron a Dodge con dudas sobre si Tapp había matado a su hija.
